message_id,action,message_type,reason,confidence,evidence_message_ids
msg_023,notify,business_update,Transactional alert from business.,0.94,message_0243
msg_091,mute,scam,Muted high-risk security ask or unsolicited financial request.,0.95,message_0238
msg_090,digest,unknown,Direct personal message from unfamiliar contact.,0.91,none
msg_048,notify,urgent,Notified time-sensitive operational notice from society group admin.,0.95,message_0152
msg_040,mute,greeting,Muted forwarded greeting message with high forward count.,0.92,message_0136
msg_075,digest,business_update,Status or transactional update from business account.,0.91,message_0206
msg_005,digest,promotion,Marketplace promotional message.,0.92,message_0095
msg_104,notify,urgent,Direct personal message with time-sensitive pickup or request.,0.92,message_0115
msg_069,mute,greeting,Muted forwarded greeting message with high forward count.,0.92,message_0194
msg_107,mute,scam,Muted high-risk security ask or unsolicited financial request.,0.95,message_0214
msg_070,mute,scam,Muted high-risk security ask or unsolicited financial request.,0.95,message_0214
msg_003,digest,business_update,Status or transactional update from business account.,0.91,message_0031;message_0400
msg_099,notify,personal,Direct personal message from active contact.,0.93,message_0055
msg_008,digest,business_update,Status or transactional update from business account.,0.91,message_0296
msg_092,mute,promotion,Promotional advertisement from business account.,0.92,none
msg_060,digest,personal,Personal discussion in social group.,0.91,message_0404;message_0284
msg_004,notify,event,Healthcare appointment schedule update.,0.94,message_0245;message_0005
msg_030,mute,promotion,Muted message in user-muted group.,0.92,message_0115
msg_045,digest,event,Routine update in society group.,0.91,message_0146
msg_052,mute,scam,Muted due to official domain mismatch (talabat.com vs talabat-refund.com) on payment/credential request.,1.0,message_0208
msg_009,mute,event,Muted message in user-muted group.,0.92,message_0074
msg_071,notify,personal,Personal family communication.,0.93,message_0197
msg_016,digest,promotion,Marketplace promotional message.,0.92,message_0087
msg_065,digest,promotion,Promotional advertisement from business account.,0.92,message_0261
msg_038,mute,forward,Muted forwarded advice/information spam.,0.92,message_0131
msg_086,digest,business_update,Status or transactional update from business account.,0.91,message_0222
msg_014,mute,promotion,Promotional advertisement from business account.,0.92,message_0017;message_0258
msg_094,mute,promotion,Promotional advertisement from business account.,0.92,none
msg_029,mute,forward,Muted forwarded advice/information spam.,0.92,message_0095
msg_105,mute,forward,Muted forwarded advice/information spam.,0.92,message_0233
